Year,Revenue,yearno
2010.0,66.8,-11.0
2011.0,74.03,-10.0
2012.0,108.18,-9.0
2013.0,105.61,-8.0
2014.0,223.15,-7.0
2015.0,249.9,-6.0
2016.0,200.58,-5.0
2017.0,286.8,-4.0
2018.0,366.6,-3.0
2019.0,411.4,-2.0
2020.0,540.5,-1.0
