Year,Revenue,yearno
2009.0,121.47,-13.0
2010.0,597.46,-12.0
2011.0,1140.1,-11.0
2012.0,1281.27,-10.0
2013.0,873.27,-9.0
2014.0,690.41,-8.0
2015.0,764.72,-7.0
2016.0,741.42,-6.0
2017.0,861.39,-5.0
2018.0,907.21,-4.0
2019.0,1321.66,-3.0
2020.0,1974.8,-2.0
2021.0,2801.0,-1.0
